url	score	metaTitle	metaDescription	desktop_screenshot	mobile_screenshot
http://pharmapoc.com	92	POC Pharma | Go-To-Market Digital Solutions	POC Pharma digital go-to-market solutions empowers pharma companies to drive growth faster and cheaper. Manage and engage customers, and leverage real-time data and analytics to streamline go-to-market	https://drive.google.com/uc?id=1LTC4bzKIRKqm4a4YMWo9kEczEmlud_Q3	https://drive.google.com/uc?id=1wEo4bzZ4c6hFBKPyNFnYnF-hl6s1DknG
http://polaroo.com	91	Polaroo | Gestión de suministros básicos	Simplifica la gestión de los suministros básicos de tu empresa (Agua, Luz, Gas, Telefonía, Internet, Alarmas, etc), ahorrando en costes y en tiempo de gestión. Adquiere mayor visibilidad sobre los consumos y mejor previsión de los gastos.	https://drive.google.com/uc?id=1yHxk81FzRaMEw0XbZ-S2E3fH5KnuSgWe	https://drive.google.com/uc?id=1IzkwoM6wfNdgnXQ0bDSZgY9tA93KS8qq
http://brpolen.com.br	96	Polen - Logística Reversa de Embalagens	Entre em compliance com a Política Nacional de Resíduos Sólidos e transforme suas embalagens em uma ferramenta de interação com seus consumidores.	https://drive.google.com/uc?id=175CRo0vu5Veu-fHLIVWcgenxA1OkMbK0	https://drive.google.com/uc?id=16ONmGfL_k_pYclGaJtIyb49-XHC42h7c
http://policyme.com	95	PolicyMe: Affordable Life & Critical Illness Insurance in Canada	Online, affordable term life insurance. Simple application. Backed by Canadian Premier Life Insurance. No obligation. Same-day coverage.	https://drive.google.com/uc?id=1u5k5cIsJw3u0d38f-OrusPcbuBe9wMVW	https://drive.google.com/uc?id=1R7tbyLOy9m3RzQIQPZZUSax-W6AKFdjr
http://pomelogroup.com	91	Pomelo Unified Payment Platform | Platform as a Service	Unlock financial opportunities with Pomelo's B2B payment platform for financial institutions & enterprises. Protect and open revenue streams with Pomelo.	https://drive.google.com/uc?id=1zkGKe6s0pFQWk-nhscfRSv_YCRwttTVj	https://drive.google.com/uc?id=1uHeRzP6cx8ap9kSojbQ9HhH1yUWYQ1bQ
http://popchef.com	93	Cantine digitale nouvelle génération & plateaux repas d'entreprise - Popchef	Des solutions engagées pour tous vos besoins de restauration en entreprise : cantine digitale, frigos connectés, plateaux repas, petits-déjeuners... Des repas cuisinés à partir de produits frais et de saison.	https://drive.google.com/uc?id=1oX6ILzUZkYeRzLijDQeolp_MJZc42WhZ	https://drive.google.com/uc?id=1aTEvUUPo-co92fh1g1QNUDmW3e0MfgcM
http://popnrest.com	92	Pop & Rest - 24/7 Sleep pod hotel & hubs	Nap, sleep and work. You can book your pod for the time you need. Available in London, UK.	https://drive.google.com/uc?id=1NBsFmBUtI9E-OpRkC5d9cyF9srpQlNJV	https://drive.google.com/uc?id=1IdC6dzx5EoPxrDxBmrHO5EC4eqJNThM0
http://populationtech.com	98	for commercial spaces	No meta description	https://drive.google.com/uc?id=1wSkpokmL1kGekbCI6IMJSKPs1AABtjpA	https://drive.google.com/uc?id=1MCSTJ0-MusUysKUK6M7Ru2coiAZ7XhGm
http://portant.co	97	Portant | Automate Your Documents | Automation for Invoices, Contracts, Proposals & Quotes	Portant makes it easy to automate company for Sales & RevOp teams. Create custom workflows by trying Portant for free. Automate invoices, contracts with signatures, proposals, quotes and more using HubSpot and Google Workspace	https://drive.google.com/uc?id=17JxxwZn54QelmJ-MQ4gQWxQM8QJsT7WS	https://drive.google.com/uc?id=1Sd3PCcsdsnYgQ0zlj0Oto3j2nFi4SubF
http://porterlogic.com	91	PorterLogic | Supply chain operations platform for ambitious manufacturers	PorterLogic helps teams maximize yield and increase productivity, from warehouse and procurement management, to MRP, order management, and more.	https://drive.google.com/uc?id=10siwE2rpiReDD5ckkIGypQDkNze67Z4Z	https://drive.google.com/uc?id=1wbBdCtgFO33627p8G_gaJ9hc1XEM-jwV
http://povio.com	91	Povio | A Design & Development Company	We are a San Francisco-based design and development company building digital products that create a positive impact.	https://drive.google.com/uc?id=1pkr33xw6Wde2OMj9Z1qEYZ6MXkaE5TfY	https://drive.google.com/uc?id=14eg3pYb_bQ6f7hNucuZ_OSr4KBiMy4b8
http://powerapi.com	93	PowerAPI - Homepage	Add white-label plug & play modules to your app & platform. Boost capabilities and increase value for customers & networks.	https://drive.google.com/uc?id=1K680zeM98mtXuzBlFgBGe7xXJKPYOrUo	https://drive.google.com/uc?id=1lq6iSqJBzIigcaxu3c3GaOqCVvBc0K9C
http://powermers.com	98	Powermers	Powermers Smart Industries aims to transform the global landscape of commercial transportation and industrial equipment by creating a unique ecosystem that accelerates the world's shift to green-powered solutions, aligning purpose with profit.	https://drive.google.com/uc?id=11puK7NN8fYLSNEZ4SBkYlCcHTB4Syii5	https://drive.google.com/uc?id=1WYL-Gc8hEzx9TkmnC6vAcHZLSnDiARNz
http://ppcbee.com	91	Dotidot - Unleash the power of automation	Get the real power over your digital marketing. Automate repetitive tasks and unlock powerful automation strategies. Get ahead of your competitors. Try Dotidot.	https://drive.google.com/uc?id=1DJER7jrjnbiaIdBZLd5Nh6_eVwYcIE1H	https://drive.google.com/uc?id=1guOguSXaaFktPtkgy4dfEiJHapN2FD8Y
http://prelo.io	90	Startup Networking For Growing Businesses - Prelo	Discover sales leads for your marketing campaigns in 3 clicks. Ideal for small businesses looking for funded Startups.	https://drive.google.com/uc?id=1R9bKNxl62JP8Q_ceLknzg3YAsYS-cm-8	https://drive.google.com/uc?id=1sW543Vh7FS21zlaB_ZtH4YjyTM8FdprC
http://prematchapp.de	91	Prematch - The real football	Stay ahead of the game: Instantly access your market value and performance statistics. Receive up-to-the-minute news and results for your matches, from the local county to regional league levels!	https://drive.google.com/uc?id=1fVynaeqtII5ps0GOAVjsX1KKSGJxOAX9	https://drive.google.com/uc?id=1XrGJc8n-okVoTkRsoFr--GAX2u85T1tq
http://procheck.pk	91	ProCheck	Darktech X, the ultimate Dark Mode Webflow Template, empowers you to effortlessly craft a website that perfectly captures the individuality and essence of your SaaS startup.	https://drive.google.com/uc?id=1FmSlvBh2BRIXi3tVsf_7Mw3V92ZD7iNe	https://drive.google.com/uc?id=1VcAIly9LWziXvnXiREDi10ENRIX-lT2B
http://procure.ai	94	Augmented Procurement | Procure Ai	No meta description	https://drive.google.com/uc?id=1TCZViJoxi9byVLj3YX8oqt1213bsITg0	https://drive.google.com/uc?id=13Ph_mxOlMX879dISsxbCGDgB-h_cVWtE
http://progrow.io	90	proGrow	Plataforma  inteligente que digitaliza qualquer equipamento ou posto de trabalho. Instalação plug & play, dashboards personalizáveis e dados em tempo real.	https://drive.google.com/uc?id=1I-RjasUp5oM1wLy-43BQ5s262fQEzoz6	https://drive.google.com/uc?id=1ksyrwtaMtKpYrdY_BBBByBFrJDpZHzFw
http://getproductiv.com	100	Get Productiv - Innovative Assembly, Shipping, and Warehouse Solutions	Productiv offers lean business process solutions including industry leading assembly & kitting, shipping, and warehouse services.	https://drive.google.com/uc?id=1ObAPQwL_FlnP-lya22UnSaHdS3CX7EbL	https://drive.google.com/uc?id=1qAJ9HmwTu6CZ7AsbgKmuPFhZyZEjWMC-
http://prolong.io	91	Prolong	No meta description	https://drive.google.com/uc?id=14xGXESDvW4d2fqIxT9kp6ST4v81TfkDL	https://drive.google.com/uc?id=1i406dQM68bT0ybP5V8fxGUCNs8ngsd7b
http://proofcheck.io	92	Proofcheck	Our AI proofreading workflow platform helps you catch embarrassing errors — so that your audience doesn't. Sign up for free beta access.	https://drive.google.com/uc?id=1-e_KShOL8nvpc-ydZdOmZyaewwixMqdV	https://drive.google.com/uc?id=1FhgiJboS_X_jFBtZ6R2t2bkj0Us-Fqw8
http://prozealinfra.com	92	Prozeal Green: Leading Green Energy Solutions Company in India	Discover Prozeal Green, a top-tier renewable energy company providing eco-friendly solutions. Harness the power of green technology with our sustainable energy services.	https://drive.google.com/uc?id=10gbCwx3isqXU5YDZVnhCT_q5HZrd9tTX	https://drive.google.com/uc?id=1ASd0s8Ud2b6j1Qyo7cQRjs_caVICKpnk
http://pumabrowser.com	91	Puma – mobile browser and wallet for the Web3 ecosystem. Private by design.	Puma is a mobile browser and wallet for the Web3 ecosystem. Private by design.‍ Today, we enable seamless payments for creators, app & game developers via Coil and Interledger Protocol and access to HNS & ENS domains.‍ Long term, our goal is to give 1b people access to the peer-to-peer and ownership based economy via Web3, DeFi and NFT projects. Available FREE while in beta on the iOS App Store (iPhone & iPad) and Android Play Store.	https://drive.google.com/uc?id=1qhgJzwzvSzcp5JOUkFp3q_SISWnZ_sAV	https://drive.google.com/uc?id=17uw043PJxITALwAh58KAQh2p4vM2UnrI
http://purpleelephant.ventures	95	Purple Elephant Ventures	Purple Elephant Ventures is a venture studio based in Nairobi, Kenya. We design and build climate smart travel-tech start-ups in-house, from scratch. We bring together world-class ideas, innovators, founders and capital. We are Africa’s hub for sustainable tourism innovation.	https://drive.google.com/uc?id=1c0e-4lhuiKYUnXTD6Ecqoru24lhh9e_y	https://drive.google.com/uc?id=1EUtfZHA-yIqGgYYGa_GhB-PfQl37Bbon
http://pynt.io	93	Pynt: Effortless API Security Testing	Pynt offers dynamic API security testing for developers and testers to identify and fix vulnerabilities during the development lifecycle.	https://drive.google.com/uc?id=1ZMzUIOhaD4lkC39oLM_Z2SLqdEFfkLCU	https://drive.google.com/uc?id=1jA9bnhTMqzcMfOdDRJPO5eh_UweMX_u5
http://qualica.com	94	Home | Qualica	No meta description	https://drive.google.com/uc?id=1RXEb_S2X-7mtpfPEtqN3FT0N9tk4AVJC	https://drive.google.com/uc?id=1ROL691FliLm28_UOD-ivcAy6UiCvQdPU
http://quantumdiamonds.de	94	Quantum Diamonds	Bringing diamond-based quantum technology around the globe, empowering the next quantum leap.	https://drive.google.com/uc?id=1HIpRG0BNBKGkfH--H6AzFepIAxYD1u8b	https://drive.google.com/uc?id=1up7T8kG3qiWnvbAfrnncR1flCRFEJafS
http://quicc.io	90	Quicc | #1 Video search tool	The fastest way to find and clip your videos to repurpose content. Easily add branded captions to these videos in minutes not hours.	https://drive.google.com/uc?id=1aqKLtg_3l-fsOIUdjDC0faXaBXN2ximW	https://drive.google.com/uc?id=1wKTfyFh3NHxqHsK7X4AHQXd9_-Vnc3cX
http://quickreply.ai	97	Whatsapp Marketing Solution for Ecommerce Shopify Stores | QuickReply.ai	QuickReply.ai finds the best time and opportunities to nudge your contacts with flows like WhatsApp broadcasts, multi-step abandoned cart recovery, convert COD orders to prepaid, and many more.	https://drive.google.com/uc?id=1VNsHQoKh3XcoR1Vz7W3xDOHGAhCpDNMZ	https://drive.google.com/uc?id=10Yp-RaFFShLqjmC2LvA5qGkzF5xYxW_B
http://quickwork.co	92	Quickwork - Best API Integration Platform, Workflow Automation	Your one-stop solution for API integration services, automated workflows, API management tools, app integration, Slack apps and no-code automation.	https://drive.google.com/uc?id=1OvtPiP92fTSZ4jyxHi0T1FQs5AY1S7eQ	https://drive.google.com/uc?id=1m7n1-cvWFnxMIeYNAXP-_NT6arXAWLaU
http://quintype.com	90	AI-powered Digital Newsroom Growth Platform	Quintype is a leading AI-powered digital experience platform (DXP) that empowers news and media publishers to create, distribute and monetise their content.	https://drive.google.com/uc?id=1cZZnVxPaBjoa1t4kIho_RDQq_2yxfJO-	https://drive.google.com/uc?id=1l7ewJkU5CvSSnlaOedYoEF_QcgBntGnA
http://quix.io	92	Python stream processing made simple | Quix	Pure Python. No wrappers. No JVM. No cross-language debugging. Use the whole Python ecosystem to develop stream processing pipelines in fewer lines of code.	https://drive.google.com/uc?id=1XMi8lwh8TlpSVg_jytfZ3hy1KivGkAms	https://drive.google.com/uc?id=1KYFcA_Je6tQPRHZnjzLZKHSqLBb9Ncts
http://qumirnano.com	96	Qumir nano	Where biology & nanotech come together. We’ve developed a bio-nanotech platform for sustainable agriculture.	https://drive.google.com/uc?id=12pNRB_pAZFuUmS4ZQ8hpqZrI_pl_KrwN	https://drive.google.com/uc?id=1aANSlllwi0MCQByVDsNzfvkz0MS9CMI4
http://qwak.com	97	Qwak - Your AI Platform. Built to Scale.	All you need to deliver production AI applications at speed, from the beginning to high-scale. Build, deploy, manage and monitor GenAI and LLMs to ML.	https://drive.google.com/uc?id=1GPWmSs0mv7vmEIau0ApSJ3MD7VcbglVj	https://drive.google.com/uc?id=1Vza9v8wUh7KwVMevy0LTA4vBY46muisH
http://rahoo.fi	97	Increase partner sales with embedded finance - Rahoo	Rahoo is a no-code platform for building high-converting embedded finance solutions. Build your own partner ecosystem and increase sales from the day one!	https://drive.google.com/uc?id=1zhLlFIu9KIv3U7xHXFaNIC5mFT4KFjoq	https://drive.google.com/uc?id=1kztDvFKK1NS9nujSoTzbChTf-6l0K-Gx
http://rainforest.life	91	Rainforest | We buy and operate e-commerce brands	Rainforest is Asia’s leading eCommerce aggregator that focuses on acquiring brands for the modern mum.  We carry products across the maternity, baby care, kids and home categories.	https://drive.google.com/uc?id=1TNwDK6oBJc41t13iPtm4SSq6oQy0_4PR	https://drive.google.com/uc?id=1zoRV07grgCGQe2u-Gn1vicxZFsGLjuVo
http://radyusresearch.com	92	Radyus Research - Drug Development Organization	Drug development organization offers integrated project management to 
biotech companies in immunology, oncology, infectious, metabolic, CNS 
diseases. Expertise in small molecules, antibodies, peptides, biologics, 
gene therapy. Services: lead optimization, preclinical efficacy, IND tox, 
CMC & regulatory plan, IND filing, quality, clinical trial design & 
operations	https://drive.google.com/uc?id=1__Pf9igXV4XgkTMqGSrq0JK8Sot8YQax	https://drive.google.com/uc?id=1PiJuSd5o0WAoxUuHEuyx3hoMgepXm-Jr
http://rarecandy.com	90	Rare Candy - Legendary Collectibles. Leading Creators.	We make collecting trading cards fun. 100% verified and authentic. Exclusive access to top creators, live auctions, and drops. Join the best TCG collecting community now!	https://drive.google.com/uc?id=16Hv-H7O7uaaEpeIUihWAmr1HTZu-9p_a	https://drive.google.com/uc?id=1VcQaI6THgVfzZ5MQDd4sAkzQt_j2pXQE
http://joinrassa.com	92	Rassa - Get Creative	Live programs on Rassa designed to help you develop your next creative idea. Learn from experts and join a global community of makers and creatives.	https://drive.google.com/uc?id=1yN5HOLn_ptjVJ81Qz8RNH8v4g6Unczu4	https://drive.google.com/uc?id=1BaerONdoag7BIyINbN5aJ-g3abf67CRl
http://legalfunding.com	93	Legal Funding - Legal Financing for Lawyers | RD Legal	Legal Funding to accelerate legal fees via post-settlement lawsuit funding. Legal & litigation financing services to expand your law firm's caseload.	https://drive.google.com/uc?id=12FJCpxWNxzYPwDwAyAWQ_go-B4u7A6J4	https://drive.google.com/uc?id=1o28n75UxiT7kjnCyPhyvrvstqSeEwP31
http://reachalts.com.au	93	Reach Alternative Investments | Invest in Private Equity	Access global private market funds in Australia and invest in exclusive private equity funds from the world's leading asset managers.	https://drive.google.com/uc?id=1dUdJL_W2zOBv-7c3yd9lOrN3HNWFR_4f	https://drive.google.com/uc?id=1jS8wVcTdDk9wAS0fxeDn5aIlwSX0Fjta
http://readycode.io	94	ReadyCode - easy-to-use modding editors for your game	Welcome to ReadyCode: Your Gateway to Innovative Game Modding! Dive into our user-friendly tools that empower game developers and modders alike to bring their creative visions to life.	https://drive.google.com/uc?id=1qMAdkui0K0MW60Isz0FmgxisTdSRkiE9	https://drive.google.com/uc?id=1wlhoCO9YBiDafslzjxPAMRfppnDTMIlY
http://realyse.com	90	REalyse - The UK's most powerful residential data platform	Using cutting edge data science, we bring together every UK residential data set into one place. Enabling you to make the right decision, faster.	https://drive.google.com/uc?id=1ndfeyxO4o2d6qQdqV5Z-6sznmjosUuVP	https://drive.google.com/uc?id=1F8EL7HA9gmy5sDVKhpDkL4V6146vdx2y
http://rebill.com	90	Rebill: Plataforma de Pagos y Suscripciones	Impulsa tu negocio en LATAM: Cobros con tarjetas, cuotas, wallets, transferencias, efectivo. ¡Expande a Brasil, México, Colombia, Argentina y más!	https://drive.google.com/uc?id=1HsSUCjPSQppcJm6kIrRKR9KJguAxzy54	https://drive.google.com/uc?id=1ONkyC_RSpMZyMfGzbxcrjZsdWrbpCOfe
http://recart.com	90	Recart: Spend Less, Sell More With Fully Managed SMS + AI	Overpaying for your Shopify SMS and don’t trust the “results”? You’re not alone. Welcome to the only text-marketing app that grows your business for you.	https://drive.google.com/uc?id=1OB1PkSafz3EataA-BGgFb3Ji40PXbwvv	https://drive.google.com/uc?id=1K3a8P8AxtaSvbGdBiGFAmqRFArqwjY0n
http://recurclub.com	92	Recur Club - Funding New Age Startups & Large Companies	Recur Club specializes in debt capital solutions for new age startups and large enterprise companies. Connect with us to raise funds today.	https://drive.google.com/uc?id=1nUsXWwMsuWJrMfUNcubvXTndLRwX-j_Z	https://drive.google.com/uc?id=1KH--Dfskkp4t66Ts2X0LemiA2xdNh62m
http://recordpoint.com	91	RecordPoint | Data & Information Lifecycle Management	Meet the efficient way to manage your data for privacy, governance and compliance. Ideal for highly regulated organizations that want to stay secure & compliant.	https://drive.google.com/uc?id=1vgF96D6rlJQQzJAXV_G2LIZj6MbZrEfW	https://drive.google.com/uc?id=1pGWmbTjI5FVY1zcI3VRVvg8fWwbzS6Fw
http://recotap.com	92	Account Based Marketing Platform | Recotap	Find the right accounts, target them with personalized content & track your progress with Recotap's automated ABM platform	https://drive.google.com/uc?id=1ghkADNNDa2q7NcnaWeOaobsaF-vqNZ_A	https://drive.google.com/uc?id=1WawRreys--SPhLh796PkoHRpB_0cAu4l
http://recyda.com	94	Recyda - Packaging Sustainability Management Software	Discover Recyda's all-in-one software for recyclability analysis, EPR-Fee calculation, and comprehensive packaging data management. Trusted by global companies.	https://drive.google.com/uc?id=1FLg3pcrAGsMvNrD2mGsialVW-a0D0-hW	https://drive.google.com/uc?id=11akitvp0ujon9PxAx8tSNQ8-tMNzGKuv
http://redkubes.com	92	Otomi is now part of Akamai	Akamai has acquired Otomi, a ready-to-run platform that automatically delivers all of the configuration, observability, and security capabilities required to run production workloads on a cloud platform.	https://drive.google.com/uc?id=1ihvwa0sq1Ju_cxhpYg0q2rAiI09slnzF	https://drive.google.com/uc?id=1aL5QZxBsmKF7xURu8Gjea9oHCtWw83fx
http://reecall.com	97	L'IA conversationnelle au service de la gestion des appels entrants - Reecall	Solution de productivité et de gestion des appels entrants augmentée par l’IA. Améliorez votre satisfaction grâce à une meilleure expérience client et réduisez vos coûts de support.	https://drive.google.com/uc?id=161kVL1N4_cv_ZdOwZG1zxYdW-r_jpI7C	https://drive.google.com/uc?id=19rmEO6A5DgtU4hC701x5ElUH4Wd9YP1c
http://reelyze.com	90	Reelyze Knowledge & Experience (KxP) Platform	Reelyze is a knowledge and experience platform that helps organisations unlock and share the collective expertise of their workforce. With Reelyze, you can accelerate onboarding, slash training costs, and boost productivity.	https://drive.google.com/uc?id=1E3pWgQ5svvH56SyiDFboMxbNHKdTM43p	https://drive.google.com/uc?id=1VlKQAU2rNDs2fG0KTvhwuYBXKkEFFAxQ
http://refyne.co.in	91	Refyne - India's first earned wage access platform	No meta description	https://drive.google.com/uc?id=1QLImLRSLCRp-tW6tiav_kiLeHSM4WtUY	https://drive.google.com/uc?id=150BrwTUT6rjSpQrxzdzOMl8Fv9v_gs4z
http://refundid.com	93	Refundid | Your Refund, Instantly	Receive your refund in real-time as you decide to make a return. Refundid lets you shop online with confidence, guaranteeing an instant and effortless returns process.	https://drive.google.com/uc?id=1Uj4lMy1vAMY38v2sO215vHSz3TOnQ_Z7	https://drive.google.com/uc?id=1SUGI2wk53CCVK0uKBsU2l5Qve4Y42t3M
http://regate.io	92	Plateforme tout-en-un de gestion financière | Regate	Regate est la plateforme de gestion financière tout-en-un pour gérer, comptabiliser et dématérialiser vos factures, notes de frais et paiements efficacement.	https://drive.google.com/uc?id=1n3w6hyGpRx6sd482VIfI9UQlgSSLUYLW	https://drive.google.com/uc?id=13IM8kDVCd-nBCdG_mzyin1GR1t0qkRwe
